"ARREST_KEY","ARREST_DATE","PD_CD","PD_DESC","KY_CD","OFNS_DESC","LAW_CODE","LAW_CAT_CD","ARREST_BORO","ARREST_PRECINCT","JURISDICTION_CODE","AGE_GROUP","PERP_SEX","PERP_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"87635370","11/11/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","75","2","18-24","F","BLACK","1014698.0","178519.0","40.656625973","-73.890263537","POINT (-73.89026353699995 40.656625973000075)"
"87625408","11/10/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","52","0","25-44","M","WHITE HISPANIC","1012468.0","255066.0","40.866734986","-73.897979391","POINT (-73.89797939099996 40.86673498600004)"
"87625411","11/10/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","52","0","25-44","M","WHITE HISPANIC","1011834.0","253994.0","40.863794676","-73.900276026","POINT (-73.90027602599997 40.863794676000055)"
"87588760","11/08/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","25-44","F","WHITE HISPANIC","1014347.0","235987.0","40.814362516","-73.891271499","POINT (-73.89127149899997 40.81436251600008)"
"87602473","11/08/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","25-44","F","WHITE","1014230.0","236561.0","40.815938383","-73.891691615","POINT (-73.89169161499996 40.81593838300005)"
"87585160","11/07/2012","604","LOITERING 1ST DEGREE FOR DRUG PURPOSES","360","LOITERING FOR DRUG PURPOSES","PL 2403600","M","M","24","0","25-44","M","BLACK","992744.0","229336.0","40.796154533","-73.969323995","POINT (-73.96932399499997 40.79615453300004)"
"87568024","11/06/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","18-24","F","BLACK","1015672.0","236043.0","40.814511607","-73.88648448","POINT (-73.88648447999998 40.81451160700004)"
"87484313","10/30/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","73","0","45-64","F","BLACK","1011083.0","183679.0","40.670800717","-73.903271844","POINT (-73.90327184399997 40.67080071700008)"
"87448028","10/27/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","83","0","25-44","M","WHITE","1006880.0","190544.0","40.68965532","-73.91840007","POINT (-73.91840006999998 40.689655320000035)"
"87447858","10/27/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","18-24","F","BLACK","1015287.0","235984.0","40.814351029","-73.887875625","POINT (-73.88787562499994 40.81435102900008)"
"87437041","10/26/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","73","0","25-44","F","BLACK","1010122.0","187312.0","40.68077534","-73.90672218","POINT (-73.90672217999997 40.680775340000025)"
"87437012","10/26/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","73","0","45-64","F","BLACK","1011083.0","183679.0","40.670800717","-73.903271844","POINT (-73.90327184399997 40.67080071700008)"
"87436741","10/26/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","25-44","F","WHITE HISPANIC","1013902.0","235033.0","40.811745559","-73.892883341","POINT (-73.89288334099997 40.81174555900003)"
"87419608","10/25/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","83","0","18-24","M","BLACK","1006880.0","190544.0","40.68965532","-73.91840007","POINT (-73.91840006999998 40.689655320000035)"
"87420319","10/25/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","Q","110","0","18-24","F","WHITE HISPANIC","1016090.0","210347.0","40.74398143","-73.885096157","POINT (-73.88509615699996 40.743981430000076)"
"87419613","10/25/2012","618","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037V2","V","K","83","0","25-44","F","BLACK","1010039.0","187378.0","40.680956737","-73.907021178","POINT (-73.90702117799998 40.68095673700003)"
"87419958","10/25/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","18-24","F","WHITE","991571.0","214778.0","40.756197694","-73.973576333","POINT (-73.97357633299998 40.756197694000036)"
"87383633","10/24/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","18-24","F","WHITE","991527.0","214206.0","40.754627736","-73.97373577","POINT (-73.97373576999998 40.75462773600003)"
"87419502","10/24/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","B","41","0","25-44","F","BLACK HISPANIC","1014230.0","236561.0","40.815938383","-73.891691615","POINT (-73.89169161499996 40.81593838300005)"
"87400853","10/24/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","76","0","25-44","F","AMERICAN INDIAN/ALASKAN NATIVE","982052.0","187599.0","40.681600622","-74.00792624","POINT (-74.00792623999997 40.681600622000076)"
"87387896","10/24/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","18-24","F","WHITE HISPANIC","988696.0","216220.0","40.760157529","-73.983952679","POINT (-73.98395267899997 40.760157529000026)"
"87334036","10/20/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","B","41","0","25-44","F","WHITE HISPANIC","1014347.0","235987.0","40.814362516","-73.891271499","POINT (-73.89127149899997 40.81436251600008)"
"87305524","10/18/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","83","0","25-44","F","BLACK","1006697.0","189865.0","40.687792088","-73.91906221","POINT (-73.91906220999994 40.68779208800004)"
"87305531","10/18/2012","618","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037V2","V","K","83","0","25-44","F","BLACK","1010039.0","187378.0","40.680956737","-73.907021178","POINT (-73.90702117799998 40.68095673700003)"
"87290072","10/18/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","18-24","M","BLACK","991844.0","214776.0","40.756191974","-73.972590944","POINT (-73.97259094399993 40.756191974000046)"
"87305928","10/18/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","M","18","0","18-24","F","WHITE","991844.0","214776.0","40.756191974","-73.972590944","POINT (-73.97259094399993 40.756191974000046)"
"87305516","10/18/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","83","0","45-64","F","BLACK","1008369.0","188622.0","40.68437594","-73.913037778","POINT (-73.913037778 40.684375940000045)"
"87246949","10/15/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","Q","102","0","25-44","F","WHITE","1022613.0","188687.0","40.684504077","-73.861679192","POINT (-73.86167919199994 40.68450407700004)"
"87227316","10/13/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","18-24","F","WHITE HISPANIC","1015656.0","236156.0","40.814821817","-73.886541754","POINT (-73.88654175399995 40.814821817000045)"
"87218723","10/13/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","Q","108","0","25-44","M","WHITE HISPANIC","1012977.0","211203.0","40.746341595","-73.896326791","POINT (-73.89632679099998 40.74634159500005)"
"87218722","10/13/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","Q","108","0","25-44","M","WHITE HISPANIC","1012941.0","211446.0","40.747008686","-73.896455677","POINT (-73.89645567699995 40.74700868600007)"
"87218708","10/13/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 2403703","M","Q","108","0","25-44","M","WHITE HISPANIC","1013228.0","211238.0","40.746436842","-73.895420791","POINT (-73.89542079099994 40.746436842000044)"
"87218713","10/13/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","Q","108","0","25-44","M","WHITE HISPANIC","1012941.0","211446.0","40.747008686","-73.896455677","POINT (-73.89645567699995 40.74700868600007)"
"87218405","10/13/2012","618","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037V2","V","K","73","0","25-44","F","BLACK","1010648.0","184543.0","40.67317351","-73.90483658","POINT (-73.90483657999994 40.67317351000003)"
"87194534","10/12/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","18-24","F","WHITE","1015162.0","235941.0","40.814233445","-73.888327404","POINT (-73.88832740399994 40.81423344500007)"
"87189439","10/11/2012","616","LOITERING,TRANSPORTATION FACILITY","672","LOITERING","PL 2403506","V","M","6","3","25-44","M","BLACK","981908.0","209700.0","40.742262581","-74.008453118","POINT (-74.00845311799998 40.742262581000034)"
"87188907","10/11/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","73","0","25-44","F","BLACK","1008167.0","185459.0","40.675694773","-73.913777335","POINT (-73.91377733499998 40.67569477300003)"
"87188800","10/11/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","K","75","2","18-24","F","BLACK","1015105.0","178393.0","40.656278722","-73.888797243","POINT (-73.88879724299994 40.656278722000025)"
"87167820","10/10/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","25-44","F","WHITE","1014230.0","236561.0","40.815938383","-73.891691615","POINT (-73.89169161499996 40.81593838300005)"
"87167815","10/10/2012","617","LOITERING FOR PROSTITUTION OR TO PATRONIZE","356","PROSTITUTION & RELATED OFFENSES","PL 24037M2","M","B","41","0","45-64","F","WHITE","1014230.0","236561.0","40.815938383","-73.891691615","POINT (-73.89169161499996 40.81593838300005)"
